epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,4528.76,1.61503,1.2574,0.014,0.75963,0.68853,0.74852,0.42976,1.66803,1.12771,0.01492,0.0004952,0.0004952,0.0004952
78,4586.44,1.6171,1.25506,0.01377,0.7705,0.67913,0.74504,0.4251,1.67647,1.13113,0.01501,0.0004754,0.0004754,0.0004754
79,4644.32,1.60363,1.22769,0.01362,0.77536,0.67722,0.74743,0.42738,1.6785,1.12308,0.01513,0.0004556,0.0004556,0.0004556
80,4702.18,1.59851,1.22855,0.01379,0.78191,0.66801,0.74498,0.42716,1.66555,1.13244,0.01503,0.0004358,0.0004358,0.0004358
81,4759.8,1.60857,1.24355,0.01371,0.78534,0.68134,0.75128,0.43544,1.65504,1.11718,0.01476,0.000416,0.000416,0.000416
82,4818.1,1.60246,1.22649,0.01353,0.7972,0.67625,0.75503,0.43421,1.6634,1.10789,0.01486,0.0003962,0.0003962,0.0003962
83,4875.49,1.60113,1.23071,0.01369,0.79787,0.67204,0.75614,0.43629,1.65336,1.10718,0.01476,0.0003764,0.0003764,0.0003764
84,4933.27,1.58106,1.21409,0.01348,0.79764,0.67359,0.7563,0.43917,1.65053,1.10923,0.01477,0.0003566,0.0003566,0.0003566
85,4991.34,1.60547,1.21256,0.01335,0.78745,0.68316,0.75622,0.43978,1.64268,1.11422,0.0146,0.0003368,0.0003368,0.0003368
86,5049.57,1.59419,1.20978,0.01347,0.79104,0.68975,0.75965,0.44285,1.63995,1.09924,0.01462,0.000317,0.000317,0.000317
87,5107.74,1.58856,1.21224,0.01337,0.78696,0.68721,0.7587,0.4418,1.64303,1.09625,0.01462,0.0002972,0.0002972,0.0002972
88,5165.76,1.59081,1.21616,0.0135,0.80114,0.67875,0.76032,0.44563,1.63392,1.09596,0.01449,0.0002774,0.0002774,0.0002774
89,5223.62,1.58557,1.20881,0.01351,0.80132,0.67645,0.75848,0.4464,1.62993,1.09757,0.01445,0.0002576,0.0002576,0.0002576
90,5281.34,1.58085,1.21591,0.01343,0.79522,0.67971,0.75585,0.44445,1.63615,1.10203,0.01455,0.0002378,0.0002378,0.0002378
91,5340.53,1.54969,1.05798,0.01501,0.79114,0.68834,0.76063,0.44858,1.63042,1.08487,0.01443,0.000218,0.000218,0.000218
92,5398.69,1.53622,1.0278,0.01486,0.78951,0.69467,0.7641,0.45205,1.62649,1.07361,0.01433,0.0001982,0.0001982,0.0001982
93,5455.74,1.51196,1.02512,0.01452,0.79555,0.68287,0.76284,0.45129,1.63076,1.07171,0.01437,0.0001784,0.0001784,0.0001784
94,5513.34,1.51802,1.02354,0.01435,0.79058,0.68855,0.76338,0.45198,1.6291,1.06764,0.01434,0.0001586,0.0001586,0.0001586
95,5571.14,1.50993,1.01392,0.01425,0.80143,0.6835,0.76558,0.45505,1.62198,1.06632,0.01423,0.0001388,0.0001388,0.0001388
96,5628.81,1.50023,1.00165,0.01427,0.79709,0.68862,0.76569,0.45437,1.6209,1.06511,0.0142,0.000119,0.000119,0.000119
97,5685.87,1.49567,0.98666,0.01431,0.78321,0.69499,0.76428,0.45395,1.62123,1.0615,0.0142,9.92e-05,9.92e-05,9.92e-05
98,5743.4,1.49731,0.99018,0.0142,0.79026,0.69373,0.76506,0.45503,1.62038,1.05772,0.01418,7.94e-05,7.94e-05,7.94e-05
99,5800.81,1.49749,0.99144,0.01408,0.79819,0.69141,0.76616,0.45593,1.61849,1.05645,0.01416,5.96e-05,5.96e-05,5.96e-05
100,5858.4,1.49509,0.98842,0.01414,0.79938,0.69122,0.7658,0.45628,1.61744,1.05791,0.0141,3.98e-05,3.98e-05,3.98e-05
